"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|FR","Without Sequence","6.74","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|FR","Without Sequence","4.74","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|FR","Without Sequence","3.66","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|FR","Without Sequence","1.26","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|FR","Without Sequence","-20.10","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|FR","Without Sequence","-31.82","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|FR","Without Sequence","-28.66","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|FR","Without Sequence","-13.71","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|FR","Without Sequence","-4.14","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|FR","Without Sequence","2.03","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|FR","Without Sequence","-15.51","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|FR","Without Sequence","-0.42","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|FR","Without Sequence","2.30","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|FR","Without Sequence","2.30","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|FR","Without Sequence","5.00","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|FR","Without Sequence","8.56","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|FR","Without Sequence","9.42","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|FR","Without Sequence","12.46","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|FR","Without Sequence","15.93","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|FR","Without Sequence","22.02","",""
